SID,Familia,GeneroEspecies,NombreComun,OvinosAlpacas,Vacas,Llamas,2010obs,2011obs,TotalObs,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Gramineae (Poaceae),Poa subspicata (Presl) Kunth,Ocsha,MD,PD,PD,2,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Gramineae (Poaceae),Poidium monamdrum (Hackel) Mattei,Tembleque;Chucru ocsha,PD,PD,PD,3,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Gramineae (Poaceae),Polypogon elongatus HBK,Chucru ocsha;Oqu soclla,PD,NC,NC,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Gramineae (Poaceae),Sporobolus indicus,,PD,PD,PD,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Gramineae (Poaceae),Stipa brachyphylla Hitchcock,Grano ichu,D,PD,MD,3,33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gramineae (Poaceae),Stipa depauperata Pilger,,PD,PD,D,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Gramineae (Poaceae),Stipa hans-meyeri Pilger,Puka hueta ocsha,PD,PD,PD,3,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gramineae (Poaceae),Stipa ichu (Ruiz & Pavón) Kunth,Ichu;Peckoj;Llama ichu,PD,PD,PD,33,9,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Gramineae (Poaceae),Stipa mexicana Hitchcock,Centeno ocsha,PD,D,D,23,5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Gramineae (Poaceae),Stipa mucronata HBK,Grama ichu,D,D,D,4,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Gramineae (Poaceae),Stipa obtusa (Nees & Mey),Cocchu ocsha,PD,D,D,4,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Gramineae (Poaceae),Stipa smithii Hitchcock,Pashu ocsha,PD,PD,PD,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Gramineae (Poaceae),Trisetum spicatum (Linneo) Richter,Soclla kora,PD,PD,PD,5,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Gramineae (Poaceae),Vulpia australis (Ness) Blom,Pajilla,PD,PD,PD,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Gramineae (Poaceae),Vulpia bromoides (L.) Gray,Pajilla,PD,PD,PD,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Gramineae (Poaceae),Vulpia myuros (Linnaeus),Pajilla,PD,PD,PD,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Hydrocharitaceae,Elodea potamogeton,Llachu,D,D,D,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Iridiaceae,Sisyrinchium junceum Meyen,Maquilina cora;Canastilla,PD,PD,PD,4,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Juncaceae,Distichia humilis,,D,PD,PD,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Juncaceae,Distichia muscoides Ness & Meyen,Kunkush;Tiña,MD,NC,PD,81,46,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Juncaceae,Distichia sp.,,D,NC,NC,14,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Juncaceae,Juncus articus var.andicola ,Totora cora,PD,PD,PD,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Juncaceae,Juncus brunneus Buchenau,Ututo,PD,PD,PD,14,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Juncaceae,Juncus bufonius Linneo,Casha huaylla;Ichic mutu,D,PD,PD,24,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Juncaceae,Luzula peruviana Desvaux,Puchca pasto;Umasutu,PD,PD,PD,10,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Juncaceae,Luzula racemosa Desvaux,Junquillo; Secse,PD,PD,PD,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Juncaceae,Oxichloe andina,,NC,NC,PD,6,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Lamiaceae,Lepechinia meyenii,Pachasalvia,PD,PD,PD,14,34,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Lamiaceae,Salvia sp.,,n-c,n-c,n-c,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Leguminosae (Fabaceae),Astragalus garbancillo Cav.,Garbancillo;Garbanzo cora,PD,PD,PD,27,19,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Leguminosae (Fabaceae),Lupinus sp.,Chocho silvestre;Tarwi silvestre,NC,NC,NC,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Leguminosae (Fabaceae),Medicago hispida Gaert.,Tribol pasto;Carretilla,D,D,D,3,59,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Leguminosae (Fabaceae),Trifolium amabilie H.B.K.,Layo;Jirca tribol,MD,PD,PD,155,159,314,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Leguminosae (Fabaceae),Trifolium repens Linneo,Trébol blanco,MD,MD,MD,21,41,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Leguminosae (Fabaceae),Vicia andicola H.B.K.,Pacha talhui,PD,PD,PD,4,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Malvaceae,Acaulimalva engleriana (Ulbrich) Krapov.,Jirca makey,PD,PD,PD,18,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Malvaceae,Nototriche acaulis (Cavanilles) Krapov.,Jirca racacha;Azul tucto,D,PD,PD,23,23,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Plantaginaceae,Plantago australis V.hirtella H.B.K.,Llánten,D,PD,PD,41,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Plantaginaceae,Plantago lamprophylla Pilger,,PD,NC,NC,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Plantaginaceae,Plantago rigida H.B.K.,Occo pasto;Pasto estrella,D,PD,PD,138,64,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ranunculaceae,Ranunculus praemorsus H.B.K.,Waranisa;Alljupa-lajchin,PD,D,D,5,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Rosaceae,Alchemilla diplophylla Diels ,Yacu pasto;Libro libro,MD,NC,PD,20,78,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Rosaceae,Alchemilla erodifolia,,MD,NC,D,34,16,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Rosaceae,Alchemilla pinnata Ruiz & Pavón,Sillu sillu;Latac pasto,MD,NC,D,306,407,713,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Rosaceae,Tetraglochin strictum Poepp.,,n-c,n-c,n-c,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Santalaceae,Quinchamalium procumbens Ruiz & Pavón,Chinchimallin cora;Gusanera,PD,PD,PD,22,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Scrophulariacea,Castilleja sp.,Miskiqo,PD,PD,PD,0,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Urticaceae,Urtica sp.,,NC,NC,NC,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
